Date,Open_USD_CHF,Open_CHF_EUR,Open_CHF_GBP,Open_CHF_JPY,Open_CHF_CAD,Open_USD_JPY,Open_USD_EUR,Open_USD_GBP,Open_USD_CAD,Prev_Close_USD_CHF,Prev_Close_BondCH1m,Prev_Close_BondCH2y,Prev_Close_BondCH10y,Prev_Close_SMI,Prev_Close_BondUS1m,Prev_Close_BondUS2y,Prev_Close_BondUS10y,Prev_Close_SP500
2006-10-20,1.2573,0.6298,0.4234,93.96,0.8958,118.15,0.792,0.5325,1.1271,1.2574,1.69,2.048,2.523,8620.68,5.012,4.87,4.79,1366.96
2006-10-23,1.2579,0.6298,0.4219,94.36,0.8942,118.72,0.7924,0.531,1.1252,1.259,1.69,2.059,2.503,8643.02,5.0,4.88,4.792,1368.6
2006-10-24,1.2667,0.6289,0.4214,94.21,0.8902,119.37,0.7969,0.5339,1.1284,1.2668,1.69,2.074,2.538,8697.59,5.019,4.919,4.834,1377.02
2006-10-25,1.2668,0.6286,0.4214,94.21,0.8893,119.39,0.7966,0.534,1.1271,1.2667,1.68,2.082,2.571,8662.65,5.147,4.908,4.826,1377.38
2006-10-26,1.2649,0.627,0.4208,94.08,0.8881,119.05,0.7934,0.5325,1.124,1.2653,1.63,2.084,2.567,8682.49,5.131,4.854,4.767,1382.22
2006-10-27,1.2539,0.6283,0.4219,94.41,0.8951,118.4,0.788,0.5292,1.1228,1.2536,1.67,2.078,2.55,8673.78,5.151,4.809,4.723,1389.08
2006-10-30,1.2487,0.6288,0.4222,94.05,0.8961,117.46,0.7855,0.5274,1.1192,1.249,1.65,2.068,2.506,8695.38,5.128,4.755,4.677,1377.34
2006-10-31,1.2483,0.6293,0.4211,94.05,0.9009,117.45,0.7859,0.5259,1.1254,1.2477,1.65,2.077,2.51,8652.36,5.168,4.763,4.675,1377.93
2006-11-01,1.2439,0.6296,0.4213,93.99,0.902,116.96,0.7835,0.5243,1.1225,1.244,1.64,2.043,2.424,8569.72,5.192,4.701,4.604,1377.94
2006-11-02,1.2453,0.6292,0.4205,93.96,0.9089,117.04,0.7838,0.5238,1.1324,1.2456,1.61,2.027,2.38,8613.0,5.212,4.651,4.57,1367.81
2006-11-03,1.2452,0.6283,0.4207,94.05,0.9097,117.13,0.7825,0.5239,1.1331,1.2454,1.67,2.027,2.398,8645.72,5.201,4.679,4.6,1367.34
