Date,Close,US_infl,CH_infl,US_IR,SARON_close
2007-07-02,1.2094,-0.025437721,-0.6,4.55,2.430063
2007-07-03,1.21578,-0.025437721,-0.6,4.77,2.49492
2007-07-04,1.2171,-0.025437721,-0.6,4.77,2.590986
2007-07-05,1.2173,-0.025437721,-0.6,4.76,2.524996
2007-07-06,1.2176,-0.025437721,-0.6,4.71,2.39067
2007-07-09,1.2164,-0.025437721,-0.6,4.68,2.431697
2007-07-10,1.2012,-0.025437721,-0.6,4.74,2.334494
2007-07-11,1.2047,-0.025437721,-0.6,4.73,2.220365
2007-07-12,1.2034,-0.025437721,-0.6,4.73,2.142251
2007-07-13,1.2024,-0.025437721,-0.6,4.72,2.196048
2007-07-16,1.2024,-0.025437721,-0.6,4.75,2.118021
2007-07-17,1.2005,-0.025437721,-0.6,4.77,2.119799
2007-07-18,1.2005,-0.025437721,-0.6,4.77,2.251967
2007-07-19,1.2038,-0.025437721,-0.6,4.78,2.47675
2007-07-20,1.2005,-0.025437721,-0.6,4.76,2.387655
2007-07-23,1.20628,-0.025437721,-0.6,4.88,2.37198
2007-07-24,1.2029,-0.025437721,-0.6,5.05,2.367843
2007-07-25,1.2134,-0.025437721,-0.6,5.04,2.353401
2007-07-26,1.203,-0.025437721,-0.6,4.98,2.150184
2007-07-27,1.2128,-0.025437721,-0.6,4.89,2.30784
2007-07-30,1.20294,-0.025437721,-0.6,4.95,2.428143
2007-07-31,1.2013,-0.025437721,-0.6,5.13,2.490651
2007-08-01,1.2035,-0.183390223,-0.1,5.05,2.490651
2007-08-02,1.2033,-0.183390223,-0.1,5.02,2.452421
2007-08-03,1.1879,-0.183390223,-0.1,4.94,2.392233
2007-08-06,1.192,-0.183390223,-0.1,4.92,2.621298
2007-08-07,1.197,-0.183390223,-0.1,5.05,2.494694
2007-08-08,1.1954,-0.183390223,-0.1,5.04,2.535584
2007-08-09,1.1968,-0.183390223,-0.1,4.7,2.460204
2007-08-10,1.1992,-0.183390223,-0.1,4.38,2.2571
2007-08-13,1.2047,-0.183390223,-0.1,4.61,2.247676
2007-08-14,1.2105,-0.183390223,-0.1,4.62,1.988135
2007-08-15,1.2186,-0.183390223,-0.1,4.18,1.959246
2007-08-16,1.2168,-0.183390223,-0.1,3.13,2.117208
2007-08-17,1.2051,-0.183390223,-0.1,3.03,2.186256
2007-08-20,1.206,-0.183390223,-0.1,2.47,2.394263
2007-08-21,1.2067,-0.183390223,-0.1,3.17,2.373259
2007-08-22,1.2064,-0.183390223,-0.1,3.12,2.360119
2007-08-23,1.2074,-0.183390223,-0.1,3.79,2.208053
2007-08-24,1.2036,-0.183390223,-0.1,4.24,1.984929
2007-08-27,1.2022,-0.183390223,-0.1,4.74,2.042595
2007-08-28,1.2012,-0.183390223,-0.1,4.6,1.910938
2007-08-29,1.1992,-0.183390223,-0.1,4.02,2.085231
2007-08-30,1.2035,-0.183390223,-0.1,3.69,2.188372
2007-08-31,1.2081,-0.183390223,-0.1,4.02,2.3134
2007-09-03,1.2098,0.275590741,0.1,4.02,2.299924
2007-09-04,1.2099,0.275590741,0.1,4.55,2.161679
2007-09-05,1.2036,0.275590741,0.1,4.41,2.249865
2007-09-06,1.2008,0.275590741,0.1,4.28,2.088573
2007-09-07,1.1884,0.275590741,0.1,4.03,2.009323
2007-09-10,1.1884,0.275590741,0.1,3.93,2.205203
2007-09-11,1.1888,0.275590741,0.1,4.13,2.055142
